Placa,Data de Utilizacao,Valor Cobrado,Endereco do Estabelecimento,Nome do Estabelecimento
QUA2G54,10/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,10/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,11/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
PXD7G42,11/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DFJ9195,11/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,11/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,11/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PWS9889,11/04/2024,"5,1","SP 270, 111.0, LESTE, ARACOIABA DA SERRA - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,11/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,12/04/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
GIY1B04,12/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,12/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,12/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PXD7G42,12/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,12/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
QUA2G54,12/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,15/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,15/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
FEA0472,15/04/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
FEA0472,15/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
BQU4D69,15/04/2024,"14,3","SP 127, 133.9, SUL, ITAPETININGA - SP",RODOVIAS INTEGRADAS DO OESTE S.A
GIY1B04,15/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
BQU4D69,15/04/2024,"14,3","SP 127, 128.9, NORTE, TATUI - SP",RODOVIAS INTEGRADAS DO OESTE S.A
GIA7B06,15/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,15/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PXD7G42,15/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,15/04/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
QUA2G54,16/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,16/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,16/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,16/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PXD7G42,16/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,16/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,17/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
PXD7G42,17/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
FEA0472,17/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DFJ9195,17/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,17/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,17/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,17/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,18/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DFJ9195,18/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
